State,Vaccinations,Population,Nominalised_vaccinations
perlis,10016,187756,5.334583182
kedah,33449,1595396,2.096595453
penang,35728,1385097,2.579458334
perak,52639,1932525,2.723845746
selangor,76273,4838547,1.576361664
kl,52110,1481138,3.518240704
putrajaya,7222,56913,12.68954369
ns,29765,850890,3.498101987
melaka,16566,701711,2.360800957
kelantan,25293,1237273,2.044253774
terengganu,26557,841837,3.154648703
pahang,36049,1235357,2.918103836
johor,49401,2839652,1.739685004
sabah,53859,2921000,1.843854844
labuan,3331,72272,4.608977197
sarawak,57682,2072490,2.783222114
