State,Vaccinations,Population,Nominalised vaccinations,Registered
Perlis,10016,187756,5.334583182,59793
Kedah,33449,1595396,2.096595453,467697
Penang,35728,1385097,2.579458334,584986
Perak,52639,1932525,2.723845746,617740
Selangor,76273,4838547,1.576361664,2250428
Kuala Lumpur,52110,1481138,3.518240704,685379
Putrajaya,7222,56913,12.68954369,53670
Negeri Sembilan,29765,850890,3.498101987,354261
Melaka,16566,701711,2.360800957,277725
Kelantan,25293,1237273,2.044253774,265588
Terengganu,26557,841837,3.154648703,237701
Pahang,36049,1235357,2.918103836,342887
Johor,49401,2839652,1.739685004,1063079
Sabah,53859,2921000,1.843854844,394989
Labuan,3331,72272,4.608977197,27333
Sarawak,57682,2072490,2.783222114,686498
